"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.282008750E0,-5.753000826E-2,2.776058391E-3,-3.443470597E-2
3.292048750E0,-5.222730339E-2,1.010414213E-2,-3.197188303E-2
3.302119750E0,-4.180129617E-2,1.533725113E-2,-3.390054405E-2
3.312160750E0,-3.602083027E-2,1.568475552E-2,-3.278865293E-2
3.322200750E0,-3.354808688E-2,1.377899759E-2,-3.386377171E-2
3.332240750E0,-3.321847320E-2,1.330190524E-2,-3.338913247E-2
3.342280750E0,-4.000500590E-2,2.213720605E-2,-2.689954266E-2
3.352321750E0,-4.906790704E-2,3.071140684E-2,-2.331419662E-2
3.362361750E0,-6.093095243E-2,2.893827297E-2,-1.779239997E-2
3.372432750E0,-6.826324016E-2,2.248066850E-2,-1.104103681E-2
3.382472750E0,-7.732570916E-2,2.546607144E-2,-1.476839650E-2
3.392512750E0,-7.421299070E-2,1.552613266E-2,2.002019808E-2
3.402553750E0,-7.470221817E-2,1.280864142E-2,9.884206578E-3
3.412593750E0,-7.669004053E-2,-7.855684496E-3,-1.525548380E-2
3.422633750E0,-8.036519587E-2,-2.692018822E-2,-6.551253051E-2
3.432704750E0,-7.471333444E-2,-3.769412637E-2,-8.376563340E-2
3.442744750E0,-6.846635789E-2,-3.188524023E-2,-8.301435411E-2
3.452785750E0,-6.918526441E-2,-2.252240479E-2,-7.301803678E-2
3.462825750E0,-7.206254452E-2,-2.213598043E-2,-6.286553293E-2
3.472865750E0,-7.363132387E-2,-2.341710776E-2,-5.836591870E-2
3.482905750E0,-7.762793452E-2,-2.585736103E-2,-5.704152584E-2
3.492946750E0,-7.842651010E-2,-3.011999652E-2,-6.175706536E-2
3.503016750E0,-7.289965451E-2,-4.065253213E-2,-6.766714901E-2
3.513057750E0,-6.485043466E-2,-4.617260769E-2,-7.462232560E-2
3.523097750E0,-6.034915894E-2,-4.302474856E-2,-7.916061580E-2
3.533137750E0,-5.276910588E-2,-3.891018778E-2,-7.680144161E-2
3.543178750E0,-4.625927284E-2,-3.113428876E-2,-7.535801083E-2
3.553218750E0,-4.188109189E-2,-2.426712960E-2,-7.229760289E-2
3.563258750E0,-3.794360906E-2,-2.617448568E-2,-6.703360379E-2
3.573329750E0,-3.825114667E-2,-3.002721258E-2,-6.092793867E-2
3.583369750E0,-3.426332772E-2,-2.997421473E-2,-5.979023874E-2
3.593410750E0,-2.961634472E-2,-3.669264913E-2,-6.135227159E-2
3.603450750E0,-2.906000987E-2,-4.350874573E-2,-6.427083164E-2
3.613490750E0,-2.272553556E-2,-3.819924593E-2,-5.941040814E-2
3.623530750E0,-1.959871687E-2,-3.987491131E-2,-6.455909461E-2
3.633571750E0,-1.397784986E-2,-3.356295079E-2,-5.974303931E-2
3.643641750E0,-1.767538302E-2,-2.661769465E-2,-5.388355255E-2
3.653682750E0,-1.886748523E-2,-2.140744589E-2,-5.100496113E-2
3.663722750E0,-1.988188177E-2,-1.938317716E-2,-5.047392473E-2
3.673762750E0,-2.095100097E-2,-2.036116086E-2,-4.828529805E-2
3.683803750E0,-2.283146046E-2,-1.516959537E-2,-4.505728185E-2
3.693843750E0,-2.704641409E-2,-6.722262129E-3,-3.418908641E-2
3.703914750E0,-3.632912785E-2,-8.339066990E-3,-4.715228826E-2
3.713954750E0,-3.653963283E-2,-1.652393676E-2,-1.769830100E-2
3.723994750E0,-2.649179101E-2,1.717383973E-2,6.560245156E-2
3.734035750E0,-3.365779668E-2,2.720113844E-3,8.257434517E-2
3.744075750E0,-4.889347404E-2,-3.020294756E-2,3.901435435E-2
3.754115750E0,-5.596426874E-2,-4.548737407E-2,-1.686741412E-2
3.764155750E0,-5.661727488E-2,-5.420709774E-2,-7.435334474E-2
3.774226750E0,-5.001989007E-2,-5.362356454E-2,-1.043711826E-1
3.784266750E0,-3.954568505E-2,-3.359446675E-2,-8.845160902E-2
3.794307750E0,-3.534745052E-2,-1.315627992E-2,-7.204680145E-2
3.804347750E0,-3.181343526E-2,-4.045339301E-3,-6.765791774E-2
3.814387750E0,-3.749495000E-2,1.388012990E-2,-5.244740844E-2
3.824428750E0,-3.082692996E-2,2.209864184E-2,-4.831151664E-2
3.834468750E0,-2.118192613E-2,1.333313435E-2,-4.639178887E-2
3.844539750E0,-1.835577935E-2,2.480754629E-3,-4.267374799E-2
3.854579750E0,-1.445330679E-2,-1.071767788E-2,-3.948244452E-2
3.864619750E0,-1.076189987E-2,-1.629540324E-2,-3.259551153E-2
3.874660750E0,-9.713694453E-3,-1.430538669E-2,-2.834369242E-2
3.884700750E0,-1.976678148E-3,-6.905526854E-3,-2.299979329E-2
3.894740750E0,-2.014003694E-4,-6.637714803E-3,-2.355993912E-2
3.904811750E0,3.112573177E-4,1.995453611E-3,-2.275326662E-2
